auction_id,lot_number,final_price,low_estimate,high_estimate,is_sold,currency,date,auction_url,item_url,auction_title,art_title,location,art_maker,description
UK050223,34,10160,8000,12000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/charlotte-perriand/UK050223/34,Design,Pair of high 'Berger' stools,London,Charlotte Perriand,"circa 1960;Oak.;Each: 40 cm (15 3/4 in.) high, 32.5 cm (12 3/4 in.) diameter"
UK050223,35,12700,10000,15000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gino-sarfatti/UK050223/35,Design,Adjustable wall light,London,Gino Sarfatti,"circa 1951;Painted aluminium, painted brass, painted steel, steel wire, brass.;125 x 53 x 184 cm (49 1/4 x 20 7/8 x 72 1/2 in.), as shown;Manufactured by Arteluce, Milan, Italy."
UK050223,36,11430,4000,6000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/charlotte-perriand/UK050223/36,Design,High 'Berger' stool,London,Charlotte Perriand,"circa 1960;Ebonised wood.;45.5 cm (17 7/8 in.) high, 32.5 cm (12 3/4 in.) diameter"
UK050223,37,22860,18000,24000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-royere/UK050223/37,Design,Set of four chairs,London,Jean Royère,"circa 1945;Limed oak, fabric.;Each: 74.5 x 48 x 47 cm (29 3/8 x 18 7/8 x 18 1/2 in.)"
UK050223,38,15240,12000,15000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/serge-mouille/UK050223/38,Design,Three-armed wall light,London,Serge Mouille,"circa 1955;Painted steel, painted aluminium, brass.;145 x 140 x 87 cm (57 1/8 x 55 1/8 x 34 1/4 in.);Manufactured by Atelier Serge Mouille, Paris, France."
UK050223,39,1112800,500000,700000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/francoisxavier-lalanne/UK050223/39,Design,'Grand Bouquetin',London,François-Xavier Lalanne,"1999;Patinated bronze.;100.7 x 135 x 26.8 cm (39 5/8 x 53 1/8 x 10 1/2 in.);Produced by Fonderie d'Art Bocquel, Grainville-Ymauville, France. Number 1 from the edition of 8. Proper right front hoof impressed 1/8 and incised fxL. Proper back left hoof incised with foundry mark bocquel Fd."
UK050223,40,None,10000,15000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/barovier-toso-co/UK050223/40,Design,Set of four wall lights,London,Barovier & Toso (Co.),"1950s;Reticello glass, copper.;Each: 15 x 38 x 44.5 cm (5 7/8 x 14 7/8 x 17 1/2 in.);Produced by Barovier & Toso, Murano, Italy."
UK050223,41,44450,25000,35000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-royere/UK050223/41,Design,Pair of armchairs,London,Jean Royère,"circa 1962;Oak, fabric.;Each: 91.3 x 57.2 x 69 cm (35 7/8 x 22 1/2 x 27 1/8 in.)"
UK050223,42,13970,4000,6000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/michel-dufet/UK050223/42,Design,Table with three stools,London,Michel Dufet,"circa 1933;Nickel-plated brass, glass, fabric.;Table: 64.5 cm (25 3/8 in.) high, 60.9 cm (23 7/8 in.) diameter;Each stool: 41.7 x 44.4 x 24.3 cm (16 3/8 x 17 1/2 x 9 5/8 in.);Underside of stools impressed MADE IN FRANCE."
UK050223,43,8255,3000,5000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/wolfers-freres/UK050223/43,Design,Canteen with flatware service for 12,London,Wolfers Frères,"circa 1949;Silver, stainless steel.;Largest utensil: 32.8 cm (12 7/8 in.) long;Manufactured by Wolfers Freres, Brussels, Belgium. Reverse of each handle impressed with LS monogram. Each piece excluding grape scissors impressed with fineness mark A835 and silversmith's mark. Blades of each dinner knife, dessert knife, fruit knife and grape scissors impressed INOXYDABLE. Comprising 12 dinner forks, knives and spoons, 12 lobster forks, 12 dessert forks, knives and spoons, 12 fruit forks and knives, 12 pastry forks, 12 teaspoons, coffee spoons, mocha spoons and ice cream spoons, 2 butter knives, and 12 service pieces (182)."
UK050223,44,63500,50000,70000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/44,Design,Dining table,London,Paul Dupré-Lafon,"circa 1955;Travertine, African mahogany, brass.;74.8 x 200.9 x 100.9 cm (29 1/2 x 79 1/8 x 39 3/4 in.)"
UK050223,45,27940,5000,7000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/45,Design,Set of ten armchairs,London,Paul Dupré-Lafon,"circa 1955;African mahogany, fabric, brass nailheads.;Each: 88 x 62.5 x 56.2 cm (34 5/8 x 24 5/8 x 22 1/8 in.)"
UK050223,46,88900,12000,18000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/46,Design,Console,London,Paul Dupré-Lafon,"circa 1955;Travertine, African mahogany, brass.;76 x 239 x 36.5 cm (29 7/8 x 94 1/8 x 14 3/8 in.)"
UK050223,47,76200,20000,30000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/47,Design,Pair of wall lights,London,Paul Dupré-Lafon,"designed circa 1949, produced circa 1955;Painted steel, brass, paper.;Each: 20 x 20 x 31 cm (7 7/8 x 7 7/8 x 12 1/4 in.)"
UK050223,48,5715,6000,8000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/48,Design,Pair of bedside tables,London,Paul Dupré-Lafon,"circa 1955;Travertine, oak, leather-covered wood, painted steel, brass.;Each: 62.1 x 41.1 x 51.2 cm (23 5/8 x 16 1/8 x 20 1/8 in.)"
UK050223,49,53340,30000,50000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paul-duprelafon/UK050223/49,Design,Coffee table,London,Paul Dupré-Lafon,"designed circa 1949, produced circa 1955;Patinated steel, marble, brass.;37 x 97.5 x 69 cm (14 5/8 x 38 3/8 x 27 1/8 in.)"
UK050223,50,None,12000,18000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gino-sarfatti/UK050223/50,Design,"Floor lamp, model no. 1063",London,Gino Sarfatti,"circa 1954;Painted steel.;215.5 x 39.1 x 45 cm (84 7/8 x 15 3/8 x 17 3/4 in.);Manufactured by Arteluce, Milan, Italy. Underside of base with label printed MADE IN ITALY."
UK050223,51,None,20000,30000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gilbert-poillerat/UK050223/51,Design,Unique wall-mounted sideboard,London,Gilbert Poillerat,"circa 1960;Patinated brass, nickel-plated metal, lacquered metal, brass.;53.0 x 179.0 x 37.5 cm (20 7/8  x 70 1/2 x 14 3/4 in.);Together with a copy of the original invoice."
UK050223,52,15240,10000,15000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/ronan-and-erwan-bouroullec/UK050223/52,Design,'Bells' large ceiling light,London,Ronan and Erwan Bouroullec,"2004;Painted copper, painted aluminium.;78.5 cm (29 7/8 in.) drop, 61 cm (23 3/4 in.) diameter;Produced by Galerie kreo, Paris. Number 3 from the edition of 8 plus two artist's proofs and two prototypes. Interior bulb fixture impressed No.  3/8.2004.R+E BOUROULLEC."
UK050223,53,203200,25000,35000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/marc-newson/UK050223/53,Design,'Nickel chair',London,Marc Newson,"2006;'Grown' nickel.;90.2 x 55.2 x 48.3 cm (35 1/2 x 21 3/4 x 19 in.);Produced by Marc Newson for Gagosian Gallery, New York. Number 10 from the edition of 10 plus 2 artist's proofs. Underside with metal label impressed Nickel chair 10/10 and with artist's facsimile signature."
UK050223,54,9525,3000,5000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-puiforcat/UK050223/54,Design,Vanity case,London,Jean Puiforcat,"circa 1943;Silver, mirrored glass.;2.2 x 19.5 x 12.5 cm (0 7/8 x 7 5/8 x 4 7/8 in.);Interior edge impressed MADE IN MEXICO JEAN PUIFORCAT STERLING."
UK050223,55,48260,15000,25000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-puiforcat/UK050223/55,Design,Tureen,London,Jean Puiforcat,"1937-1945;Silver, white onyx.;19 cm (7 1/2 in.) high, 24.9 cm (9 3/4 in.) diameter;Executed by Jean Puiforcat. Side of base impressed STERLING JEAN PUIFORCAT MADE IN/MEXICO and with silversmith's mark. Side of lid impressed with silversmith's mark."
UK050223,56,7620,800,1200,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-puiforcat/UK050223/56,Design,Vase,London,Jean Puiforcat,"circa 1925;Silver.;13 cm (5 1/8 in.) high, 13 cm (5 1/8 in.) diameter;Side incised JEAN E. PUIFORCAT. Lip impressed with Minerva head French hallmark and silversmith's mark."
UK050223,57,None,3000,5000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/jean-puiforcat/UK050223/57,Design,Tankard,London,Jean Puiforcat,"circa 1943;Silver, Brazilian rosewood, crystal.;12 x 11.5 x 15.5 cm (4 3/4 x 4 1/2 x 6 1/8 in.);Executed by Jean Puiforcat. Side of base impressed with silversmith mark and MADE IN MEXICO JEAN PUIFORCAT STERLING JEAN PUIFORCAT."
